# Time-averaged data for fix myat1
# TimeStep v_mytemp
208000 501.233
209000 499.653
210000 500.039
211000 502.614
212000 499.885
213000 500.812
214000 500.29
215000 498.899
216000 497.206
217000 500.615
218000 501.611
219000 498.604
220000 499.698
221000 497.66
222000 500.457
223000 503.729
224000 498.404
225000 499.15
226000 497.932
227000 500.398
228000 498.092
229000 500.61
230000 501.871
231000 501.552
232000 499.534
233000 501.271
234000 503.658
235000 500.138
236000 499.654
237000 501.185
238000 501.073
239000 499.321
240000 501.812
241000 497.286
242000 504.313
243000 501.638
244000 502.135
245000 500.019
246000 500.259
247000 499.803
248000 500.726
249000 501.782
250000 503.33
251000 499.561
252000 501.084
253000 502.278
254000 501.833
255000 498.829
256000 498.636
257000 501.052
258000 497.645
259000 498.151
260000 498.226
261000 498.509
262000 499.495
263000 499.068
264000 499.045
265000 499.356
266000 498.911
267000 496.641
268000 499.811
269000 499.315
270000 503.782
271000 499.575
272000 500.789
273000 500.096
274000 500.82
275000 499.556
276000 499.914
277000 500.218
278000 496.262
279000 502.016
280000 500.195
281000 501.263
282000 502.464
283000 500.032
284000 500.588
285000 500.63
286000 497.884
287000 502.612
288000 501.023
289000 500.601
290000 501.735
291000 499.084
292000 499.706
293000 497.173
294000 500.148
295000 499.78
296000 499.62
297000 500.08
298000 499.486
299000 501.56
300000 501.045
301000 501.437
302000 499.777
303000 502.315
304000 499.998
305000 500.475
306000 499.324
307000 501.006
308000 499.188
309000 499.04
310000 499.693
311000 500.419
312000 500.494
313000 499.579
314000 498.975
315000 502.42
316000 497.316
317000 499.586
318000 499.535
319000 499.613
320000 499.248
321000 501.449
322000 500.058
323000 496.279
324000 499.143
325000 500.008
326000 503.696
327000 500.705
328000 498.743
329000 501.727
330000 500.653
331000 496.877
332000 501.059
333000 501.82
334000 501.235
335000 499.934
336000 498.568
337000 499.546
338000 501.849
339000 499.314
340000 500.419
341000 502.145
342000 500.123
343000 500.892
344000 500.301
345000 496.232
346000 501.958
347000 498.762
348000 501.353
349000 501.893
350000 498.375
351000 499.982
352000 500.364
353000 499.679
354000 502.759
355000 498.949
356000 501.31
357000 500.318
358000 501.833
359000 499.202
360000 500.37
361000 500.16
362000 498.129
363000 497.117
364000 500.802
365000 501.832
366000 501.253
367000 499.815
368000 501.187
369000 498.377
370000 501.777
371000 499.705
372000 498.406
373000 498.138
374000 501.147
375000 502.226
376000 498.558
377000 501.818
378000 499.791
379000 496.845
380000 499.151
381000 498.75
382000 499.68
383000 502.992
384000 500.431
385000 501.232
386000 500.284
387000 501.585
388000 499.765
389000 500.02
390000 501.634
391000 501.458
