# Time-averaged data for fix myat3
# TimeStep v_mypress
741000 -123.879
742000 -189.549
743000 -493.004
744000 446.93
745000 271.283
746000 147.835
747000 167.968
748000 1.33248
749000 44.9441
750000 211.782
751000 -214.374
752000 318.173
753000 104.059
754000 -140.472
755000 378.679
756000 123.481
757000 -314.17
758000 204.827
759000 9.1923
760000 -102.305
761000 2.67895
762000 189.382
763000 -39.116
764000 -334.375
765000 -276.077
766000 -127.792
767000 33.0913
768000 -248.041
769000 -110.161
770000 -183.93
771000 175.767
772000 -38.8413
773000 -86.3616
774000 290.815
775000 -242.178
776000 91.4644
777000 461.059
778000 -83.1916
779000 203.624
780000 -485.011
781000 280.352
782000 -100.979
783000 -115.091
784000 10.4936
785000 -103.429
786000 -198.358
787000 226.68
788000 35.2988
789000 -214.61
790000 168.864
791000 -109.382
792000 302.571
793000 49.2955
794000 -20.6925
795000 -231.997
796000 348.299
797000 31.9591
798000 38.8988
799000 225.033
800000 142.933
801000 -97.9713
802000 -2.37372
803000 177.091
804000 -225.468
805000 -191.39
806000 -119.155
807000 24.6397
808000 -144.626
809000 -248.64
810000 338.099
811000 -86.3415
812000 118.901
813000 264.736
814000 -215.404
815000 -471.387
816000 91.4623
817000 -189.76
818000 303.255
819000 83.9528
820000 -45.9262
821000 -373.133
822000 -25.5635
823000 452.724
824000 258.855
825000 -94.7791
826000 -103.185
827000 -140.197
828000 83.4151
829000 65.9702
830000 -60.8026
831000 -90.5824
832000 227.306
833000 -204.071
834000 -25.7987
835000 -3.18775
836000 8.6115
837000 63.8057
838000 2.32864
839000 -149.818
840000 -132.026
841000 241.15
842000 -74.6986
843000 -161.049
844000 92.1353
845000 -104.723
846000 154.635
847000 -323.071
848000 48.9327
849000 481.297
850000 351.004
851000 236.176
852000 -313.116
853000 20.3187
854000 -95.4415
855000 -98.4052
856000 -234.073
857000 -79.4772
858000 -23.8759
859000 93.4583
860000 -195.734
861000 399.445
862000 -315.586
863000 294.512
864000 36.1735
865000 -81.9638
866000 171.337
867000 -92.1552
868000 345.492
869000 298.929
870000 -281.736
871000 24.8735
872000 -106.333
873000 12.1489
874000 -161.748
875000 -80.4803
876000 -222.814
877000 -44.2943
878000 -232.329
879000 -66.111
880000 -19.1778
881000 -59.458
882000 78.9356
883000 -118.097
884000 320.628
885000 -380.112
886000 224.84
887000 322.184
888000 -117.958
889000 195.892
890000 -92.9809
891000 -74.1692
892000 166.622
893000 -318.432
894000 -198.342
895000 112.881
896000 222.878
897000 -33.1915
898000 215.44
899000 82.0585
900000 -73.3899
901000 -407.25
902000 103.621
903000 -136.038
904000 -21.5616
905000 258.664
