# Time-averaged data for fix myat1
# TimeStep v_mytemp
408000 301.242
409000 303.378
410000 301.572
411000 298.24
412000 299.084
413000 299.568
414000 300.738
415000 301.273
416000 299.295
417000 295.915
418000 295.858
419000 298.988
420000 300.878
421000 301.632
422000 300.451
423000 298.303
424000 297.676
425000 298.663
426000 300.415
427000 299.668
428000 300.488
429000 298.949
430000 299.328
431000 299.055
432000 299.919
433000 297.749
434000 297.838
435000 300.976
436000 302.339
437000 299.356
438000 299.574
439000 300.384
440000 301.142
441000 301.66
442000 301.265
443000 299.358
444000 298.185
445000 298.949
446000 301.001
447000 301.501
448000 300.911
449000 301.255
450000 299.118
451000 298.631
452000 297.161
453000 298.851
454000 300.893
455000 301.161
456000 299.229
457000 298.529
458000 296.922
459000 300.12
460000 302.644
461000 300.774
462000 299.349
463000 296.961
464000 299.941
465000 302.331
466000 301.207
467000 300.523
468000 299.716
469000 299.971
470000 300.97
471000 299.947
472000 300.874
473000 297.805
474000 297.748
475000 299.996
476000 300.885
477000 301.908
478000 300.173
479000 297.823
480000 297.621
481000 296.62
482000 299.71
483000 301.101
484000 300.982
485000 302.031
486000 298.421
487000 298.229
488000 296.572
489000 301.549
490000 300.699
491000 299.66
492000 298.807
493000 299.701
494000 299.003
495000 301.574
496000 302.311
497000 301.755
498000 299.914
499000 298.784
500000 297.844
501000 300.435
502000 300.523
503000 300.43
504000 300.095
505000 300.117
506000 298.261
507000 297.724
508000 297.297
509000 300.767
510000 302.809
511000 299.795
512000 299.143
513000 299.612
514000 297.149
515000 297.184
516000 298.342
517000 299.964
518000 301.329
519000 299.509
520000 298.041
521000 297.225
522000 298.774
523000 299.817
524000 300.13
525000 299.388
526000 299.264
527000 301.517
528000 302.175
529000 299.977
530000 297.226
531000 297.546
532000 300.536
533000 301.517
534000 305.177
535000 305.068
536000 303.388
537000 299.766
538000 298.971
539000 298.615
540000 300.404
541000 303.639
542000 301.923
543000 298.799
544000 299.452
545000 298.955
546000 300.951
547000 301.645
548000 299.824
549000 297.89
550000 297.926
551000 300.27
552000 299.763
553000 301.722
554000 299.895
555000 300.676
556000 299.93
557000 297.773
558000 298.06
559000 296.343
560000 300.06
561000 303.279
562000 300.218
563000 300.429
564000 297.803
565000 296.749
566000 301.101
567000 301.07
568000 302.239
569000 297.925
570000 297.681
571000 299.352
572000 302.686
573000 301.831
574000 299.205
575000 299.952
576000 299.613
577000 302.572
578000 302.302
579000 301.423
580000 299.134
581000 300.424
582000 299.159
583000 298.541
584000 298.938
585000 301.069
586000 302.259
587000 300.325
588000 298.108
589000 297.948
590000 299.846
591000 302.226
592000 300.993
593000 297.911
594000 295.391
595000 298.512
596000 299.564
597000 300.28
598000 301.296
599000 299.781
600000 297.618
601000 298.001
602000 299.383
603000 300.036
604000 302.22
605000 301.107
606000 297.743
607000 294.798
608000 296.574
609000 299.481
610000 300.765
611000 300.985
612000 299.281
613000 297.748
614000 297.578
615000 301.074
616000 302.494
617000 300.893
618000 298.607
619000 298.093
620000 299.694
621000 299.294
622000 300.043
623000 300.344
624000 298.769
625000 298.232
626000 299.622
627000 300.547
628000 301.246
629000 299.661
630000 297.352
631000 298.397
632000 298.95
633000 300.577
634000 303.242
635000 300.073
636000 298.958
637000 297.893
638000 299.374
639000 300.69
640000 301.148
641000 300.913
642000 300.672
643000 299.244
644000 300.266
645000 300.453
646000 303.071
647000 300.022
648000 300.278
649000 298.913
650000 298.784
651000 301.473
652000 302.549
653000 301.476
654000 299.603
655000 299.042
656000 298.522
657000 297.366
658000 299.761
659000 300.239
660000 303.137
661000 300.81
662000 297.486
663000 298.821
664000 299.616
665000 301.311
666000 301.062
667000 297.721
668000 297.237
669000 299.286
670000 300.237
671000 301.277
672000 301.854
673000 299.899
674000 299.188
675000 300.622
676000 301.205
677000 301.9
678000 302.195
679000 300.194
680000 298.69
681000 299.307
682000 301.139
683000 303.34
684000 304.185
685000 300.24
686000 298.826
687000 299.487
688000 299.634
689000 300.941
690000 302.158
