# Time-averaged data for fix myat1
# TimeStep v_mytemp
234000 474.1
235000 474.918
236000 474.393
237000 478.65
238000 472.529
239000 479.284
240000 473.818
241000 475.822
242000 474.942
243000 477.828
244000 473.745
245000 477.348
246000 473.049
247000 477.323
248000 475.71
249000 474.229
250000 471.85
251000 472.117
252000 475.147
253000 473.419
254000 473.811
255000 476.271
256000 476.664
257000 471.496
258000 471.47
259000 472.004
260000 473.011
261000 476.5
262000 476.926
263000 474.857
264000 470.401
265000 475.439
266000 479.334
267000 467.372
268000 476.789
269000 473.772
270000 470.414
271000 471.361
272000 469.107
273000 474.097
274000 475.411
275000 467.512
276000 471.64
277000 469.868
278000 472.889
279000 472.515
280000 471.206
281000 470.517
282000 472.838
283000 472.41
284000 475.038
285000 470.112
286000 472.815
287000 475.093
288000 471.051
289000 466.082
290000 467.247
291000 471.381
292000 476.496
293000 470.534
294000 468.927
295000 467.827
296000 467.978
297000 470.514
298000 472.077
299000 470.456
300000 470.386
301000 467.113
302000 469.334
303000 470.273
304000 471.52
305000 466.35
306000 471.429
307000 467.337
308000 473.344
309000 466.963
310000 469.434
311000 466.197
312000 466.495
313000 469.589
314000 468.707
315000 471.156
316000 467.43
317000 471.256
318000 465.154
319000 469.186
320000 467.205
321000 466.655
322000 467.408
323000 466.384
324000 464.511
325000 466.549
326000 467.507
327000 471.592
328000 465.918
329000 463.783
330000 464.776
331000 469.827
332000 463.484
333000 466.93
334000 469.517
335000 466.693
336000 467.192
337000 462.281
338000 467.211
339000 460.988
340000 467.69
341000 469.079
342000 464.242
343000 467.219
344000 466.328
345000 465.522
346000 463.261
347000 464.306
348000 467.629
349000 459.407
350000 461.695
351000 466.059
352000 462.417
353000 463.248
354000 467.842
355000 462.338
356000 464.717
357000 469.704
358000 462.798
359000 461.423
360000 462.305
361000 458.342
362000 462.879
363000 462.803
364000 457.899
365000 464.082
366000 461.628
367000 465.181
368000 460.093
369000 465.073
370000 465
371000 464.105
372000 458.423
373000 462.362
374000 462.625
375000 462.564
376000 456.603
377000 462.178
378000 459.996
379000 461.496
380000 463.115
381000 461.529
382000 462.331
383000 464.181
384000 458.464
385000 464.433
386000 461.688
387000 463.704
388000 459.354
389000 465.586
390000 461.98
391000 459.423
392000 464.588
393000 462.907
394000 455.406
395000 467.76
396000 462.138
397000 459.218
398000 456.872
399000 457.99
400000 466.25
401000 457.424
402000 456.53
403000 458.622
404000 463.287
405000 458.701
406000 466.557
407000 458.858
408000 458.875
409000 458.547
410000 459.262
411000 460.445
412000 460.554
413000 462.751
414000 457.314
415000 458.054
416000 456.838
417000 459.282
418000 462.593
419000 456.989
420000 455.174
421000 461.936
422000 455.907
423000 456.571
424000 451.739
425000 455.992
426000 456.036
427000 455.051
428000 456.563
429000 463.629
430000 457.011
431000 454.353
432000 451.738
433000 456.691
434000 459.83
435000 456.59
436000 458.713
437000 454.613
438000 458.478
439000 459.779
440000 457.096
441000 458.327
442000 453.384
443000 456.303
444000 456.52
445000 453.724
446000 459.318
447000 457.152
448000 455.315
449000 456.082
450000 455.932
451000 449.017
452000 455.068
453000 458.614
454000 453.477
455000 455.435
456000 450.934
457000 452.613
458000 455.533
459000 451.05
460000 459.049
461000 457.127
462000 452.368
463000 452.21
464000 451.593
465000 452.674
466000 456.346
467000 450.986
468000 450.582
469000 456.685
470000 452.514
471000 454.309
472000 446.74
473000 453.648
474000 451.457
475000 450.445
476000 455.327
477000 454.786
478000 453.039
479000 456.143
480000 453.854
481000 451.065
482000 449.559
483000 447.372
484000 454.828
485000 451.215
486000 449.968
487000 450.724
488000 454.254
489000 450.657
490000 454.827
491000 448.234
492000 452.778
493000 452.557
494000 444.201
495000 451.564
496000 446.491
497000 450.076
498000 453.962
