# Time-averaged data for fix myat1
# TimeStep v_mytemp
211000 301.835
212000 298.664
213000 299.678
214000 300.633
215000 297.951
216000 299.635
217000 299.803
218000 298.519
219000 298.401
220000 301.101
221000 302.056
222000 299.86
223000 298.872
224000 298.617
225000 302.221
226000 301.642
227000 299.721
228000 300.812
229000 300.939
230000 298.899
231000 298.702
232000 301.101
233000 301.277
234000 299.784
235000 299.226
236000 299.366
237000 298.648
238000 300.795
239000 300.287
240000 300.3
241000 301.293
242000 295.982
243000 299.053
244000 299.073
245000 300.915
246000 300.707
247000 299.617
248000 300.271
249000 298.601
250000 298.75
251000 300.818
252000 300.547
253000 299.392
254000 301.366
255000 299.941
256000 302.115
257000 301.221
258000 299.286
259000 297.663
260000 298.292
261000 300.426
262000 301.542
263000 302.833
264000 299.229
265000 300.399
266000 299.261
267000 300.62
268000 299.245
269000 299.62
270000 299.06
271000 299.055
272000 297.068
273000 300.46
274000 300.795
275000 300.357
276000 301.236
277000 299.579
278000 300.465
279000 300.188
280000 300.367
281000 300.821
282000 299.078
283000 299.206
284000 297.735
285000 300.328
286000 302.325
287000 299.039
288000 299.356
289000 300.907
290000 299.092
291000 300.471
292000 299.868
293000 301
294000 300.818
295000 301.445
296000 300.908
297000 299.003
298000 300.591
299000 301.109
300000 297.995
301000 297.907
302000 303.464
303000 297.671
304000 298.289
305000 299.509
306000 296.695
307000 300.489
308000 300.033
309000 302.896
310000 299
311000 299.739
312000 298.663
313000 296.745
314000 300.138
315000 301.087
316000 299.317
317000 297.977
318000 303.234
319000 300.398
320000 301.117
321000 300.817
322000 300.065
323000 301.738
324000 300.584
325000 298.809
326000 298.61
327000 297.18
328000 302.79
329000 299.99
330000 298.038
331000 298.158
332000 298.86
333000 300.579
334000 300.751
335000 297.652
336000 300.589
337000 298.715
338000 300.143
339000 299.916
340000 299.713
341000 301.71
342000 296.714
343000 300.239
344000 301.497
345000 301.586
346000 298.988
347000 299.162
348000 299.59
349000 299.304
350000 299.482
351000 301.267
352000 299.86
353000 300.204
354000 299.124
355000 296.646
356000 301.514
357000 300.381
358000 300.481
359000 301.954
360000 298.93
361000 301.724
362000 300.503
363000 298.365
364000 297.285
365000 300.046
366000 300.726
367000 298.584
368000 301.338
369000 299.628
370000 296.457
371000 300.041
372000 298.52
373000 301.106
374000 300.526
375000 300.622
376000 297.73
377000 299.426
378000 301.397
379000 299.12
380000 299.726
381000 299.421
382000 299.648
383000 300.986
384000 300.125
385000 301.554
386000 300.37
387000 298.212
388000 302.486
389000 299.803
390000 302.512
391000 300.907
392000 298.394
393000 299.36
394000 300.919
395000 301.637
396000 299.899
397000 299.821
398000 302.537
399000 299.791
400000 299.218
401000 300.646
