# Time-averaged data for fix myat2
# TimeStep v_myvol
1351000 138112
1352000 138509
1353000 138537
1354000 137880
1355000 137328
1356000 137606
1357000 138476
1358000 137942
1359000 138005
1360000 138790
1361000 137738
1362000 138133
1363000 137980
1364000 137258
1365000 137633
1366000 137526
1367000 138051
1368000 137278
1369000 137555
1370000 138296
1371000 137581
1372000 137583
1373000 137723
1374000 137729
1375000 137671
1376000 137916
1377000 137868
1378000 137508
1379000 137475
1380000 138429
1381000 139117
1382000 139064
1383000 138675
1384000 137905
1385000 138496
1386000 138747
1387000 137207
1388000 137855
1389000 137730
1390000 138100
1391000 138218
1392000 138630
1393000 138385
1394000 137802
1395000 138271
1396000 139250
1397000 138230
1398000 137760
1399000 138214
1400000 138363
1401000 137747
1402000 137857
1403000 138203
1404000 138526
1405000 138004
1406000 138378
1407000 136781
1408000 137338
1409000 138282
1410000 138095
1411000 138039
1412000 138011
1413000 137408
1414000 137546
1415000 137704
1416000 137289
1417000 138011
1418000 137092
1419000 137175
1420000 136990
1421000 136764
1422000 137741
1423000 137712
1424000 137540
1425000 137688
1426000 137052
1427000 137256
1428000 137740
1429000 137549
1430000 137862
1431000 138332
1432000 137771
1433000 137643
1434000 137218
1435000 137867
1436000 136865
1437000 136637
1438000 137387
1439000 137413
1440000 138127
1441000 138064
1442000 138296
1443000 137875
1444000 137820
1445000 138373
1446000 138414
1447000 138487
1448000 138549
1449000 137978
1450000 137850
1451000 138058
1452000 139023
1453000 138241
1454000 138847
1455000 138520
1456000 138439
1457000 138408
1458000 138010
1459000 137410
1460000 137574
1461000 137127
1462000 137687
1463000 138024
1464000 138462
1465000 138470
1466000 137276
1467000 138572
1468000 137387
1469000 137605
1470000 138785
1471000 138625
1472000 139087
1473000 138134
1474000 138778
1475000 139008
1476000 138317
1477000 138639
1478000 139237
1479000 138533
1480000 137960
1481000 138116
1482000 138165
1483000 137706
1484000 137682
1485000 138412
1486000 137502
1487000 138074
1488000 138085
1489000 137635
1490000 138256
1491000 138056
1492000 138261
1493000 137264
1494000 138419
1495000 137667
1496000 138396
1497000 138094
1498000 138303
1499000 138069
1500000 136761
1501000 137237
