# Time-averaged data for fix myat3
# TimeStep c_thermo_press
177000 -107.249
178000 179.136
179000 318.865
180000 -79.1437
181000 -12.9089
182000 150.563
183000 -123.645
184000 -54.1099
185000 -0.648749
186000 -47.9117
187000 -201.143
188000 -244.365
189000 -207.73
190000 -173.531
191000 -47.5417
192000 -209.988
193000 -2.96313
194000 81.6684
195000 89.5427
196000 -6.40061
197000 9.59615
198000 -281.514
199000 -55.1582
200000 -60.114
201000 -4.79043
202000 230.263
203000 184.63
204000 -126.9
205000 -53.7205
206000 223.9
207000 254.342
208000 125.124
209000 343.561
210000 -37.2037
211000 0.727392
212000 74.3446
213000 415.832
214000 22.8367
215000 96.3892
216000 -162.014
217000 -126.13
218000 334.32
219000 70.951
220000 465.951
221000 390.123
222000 -43.3925
223000 78.2278
224000 209.935
225000 496.716
226000 -256.229
227000 185.546
228000 -497.366
229000 234.732
230000 61.6829
231000 -218.405
232000 389.321
233000 65.8723
234000 64.5783
235000 68.82
236000 -23.5558
237000 -191.847
238000 -206.027
239000 288.886
240000 125.645
241000 84.3024
242000 -11.4737
243000 83.0244
244000 36.3924
245000 353.376
246000 51.0965
247000 100.916
248000 -231.343
249000 68.0001
250000 -110.636
251000 268.706
252000 -151.007
253000 -133.585
254000 -79.2383
255000 38.2998
256000 317.313
257000 14.1143
258000 -191.963
259000 -332.354
260000 277.548
261000 75.6686
262000 169.164
263000 370.467
264000 365.495
265000 258.459
266000 10.5403
267000 -115.579
268000 258.297
269000 48.9948
270000 176.973
271000 -4.1613
272000 19.1788
273000 -78.668
274000 122.658
275000 48.1275
276000 -103.946
277000 422.362
278000 161.338
279000 48.8212
280000 -352.036
281000 -63.3027
282000 338.518
283000 -70.0975
284000 233.712
285000 307.9
286000 -208.384
287000 79.6279
288000 -256.62
289000 132.748
290000 84.3519
291000 294.49
292000 567.239
293000 289.543
294000 85.5319
295000 397.755
296000 312.734
297000 -110.882
298000 103.944
299000 59.9243
300000 95.9209
301000 -90.1017
302000 169.529
303000 -192.881
304000 -61.1892
305000 -339.185
306000 156.639
307000 -49.454
308000 205.926
309000 -269.657
310000 13.4892
311000 -192.262
312000 156.953
313000 174.544
314000 180.258
315000 85.7911
316000 68.0773
317000 -246.698
318000 82.9585
319000 -244.714
320000 -79.4091
321000 -189.442
322000 135.344
323000 17.9372
324000 -205.506
325000 229.753
326000 163.907
327000 20.526
328000 -51.0886
329000 122.917
330000 -177.12
331000 211.852
332000 136.079
333000 312.626
334000 179.673
335000 128.195
336000 -27.281
