# Time-averaged data for fix myat3
# TimeStep c_thermo_press
580000 -1385.1
581000 -1487.9
582000 -1233.79
583000 -1470.57
584000 -1272.61
585000 -1411.01
586000 -1521.3
587000 -1104.94
588000 -1244.51
589000 -1231.67
590000 -1413.3
591000 -1552.7
592000 -1729.39
593000 -1391.76
594000 -1568.49
595000 -1402.48
596000 -1219.34
597000 -1282
598000 -1329.04
599000 -1312.18
600000 -1351.54
601000 -1598.67
602000 -1450.08
603000 -1182.05
604000 -1364.51
605000 -1641.63
606000 -1805.89
607000 -1578.62
608000 -1400.88
609000 -935.596
610000 -1326.54
611000 -1457.07
612000 -1569.66
613000 -1557.86
614000 -1639.16
615000 -1239.44
616000 -1628.52
617000 -1554.49
618000 -1368.38
619000 -1721.42
620000 -1712.7
621000 -1389.63
622000 -1315.17
623000 -1166.3
624000 -1279.99
625000 -1420.95
626000 -1146.52
627000 -1448.24
628000 -1347.55
629000 -1148.48
630000 -1232.18
631000 -1490.16
632000 -1162.73
633000 -1200.14
634000 -1366.18
635000 -1357.65
636000 -1281.78
637000 -1355.8
638000 -1721.74
639000 -1491.23
640000 -1507.56
641000 -1461.83
642000 -1297.89
643000 -1452.4
644000 -1407.81
645000 -1263.09
646000 -1195.12
647000 -1527.06
648000 -1266.11
649000 -1328.16
650000 -1656.35
651000 -1582.2
652000 -1344.17
653000 -1418.33
654000 -1076.57
655000 -1331.91
656000 -1050.63
657000 -1525.97
658000 -1291.07
659000 -1599.13
660000 -1553.88
661000 -1356.93
662000 -1276.78
663000 -1261.55
664000 -1604.78
665000 -1405.52
666000 -1012.01
667000 -1372.28
668000 -1236.9
669000 -1044.78
670000 -1520.67
671000 -1156.92
672000 -1261.68
673000 -937.915
674000 -1161.99
675000 -1325.67
676000 -1560.4
677000 -1530.7
678000 -1267.18
679000 -1330.91
680000 -1139.55
681000 -1263.38
682000 -1462.26
683000 -1331.18
684000 -1431.41
685000 -1338.91
686000 -1450.81
687000 -1640
688000 -1391.82
689000 -1430.23
690000 -970.88
691000 -1352.69
692000 -1374.72
693000 -1305.18
694000 -1665.75
695000 -1595.05
696000 -827.028
697000 -1119.52
698000 -1368.05
699000 -1357.66
700000 -1212.77
701000 -1537.7
702000 -1434.11
703000 -1486.07
704000 -1257.88
705000 -1500.48
706000 -1289.76
707000 -1321.89
708000 -1029.76
709000 -1250.13
710000 -1071.04
711000 -1309.26
712000 -1652.54
713000 -1375.17
714000 -1281.45
715000 -1250.44
716000 -1350.51
717000 -1604.34
718000 -1627.82
719000 -1242.44
720000 -1087.28
721000 -1062.39
722000 -1349.68
723000 -1267.4
724000 -1441.36
725000 -1484.44
726000 -1429.05
727000 -1671.4
728000 -1421.16
729000 -1457.06
730000 -1085.5
731000 -1161.91
732000 -1305.17
733000 -1526.68
734000 -1429.56
735000 -1579.3
736000 -1460.28
737000 -1296.82
738000 -1449.47
739000 -1174.69
740000 -1539.4
741000 -1144.87
742000 -1380.49
743000 -1218.7
744000 -1284.28
745000 -1133.88
746000 -1119.25
747000 -1380
748000 -1388.09
749000 -1285.37
750000 -1454.55
751000 -1481.81
752000 -1627.96
753000 -1398.44
754000 -1362.32
755000 -1310.21
756000 -1580.27
757000 -1366.54
758000 -1560.73
759000 -1411.03
760000 -1585.85
761000 -1688.15
762000 -1745.25
763000 -1559.25
764000 -1356
765000 -1203.09
766000 -1329.71
767000 -1639.58
768000 -1636.64
769000 -1568.81
770000 -1277
771000 -1547.89
772000 -1297.09
773000 -1566.02
774000 -1376.67
775000 -1114.44
776000 -1362.94
777000 -1599.57
778000 -1409.56
779000 -1373.54
780000 -1381.85
781000 -1192.99
782000 -1573.13
783000 -1205.76
784000 -1364.66
785000 -1634.26
786000 -1281.05
787000 -1638.62
788000 -1351.75
789000 -1337.48
790000 -1575.41
791000 -1408.1
792000 -1698.02
793000 -1429.59
794000 -1353.23
